Rank,Team,Run,Accuracy,F1 (weighted)
1,GWU_LT3,run1,0.878,0.877269669643
2,nrc,run1,0.878,0.876957054138
3,UPV_UA,run2,0.858,0.856687313944
4,UniBucNLP,run2,0.838,0.837799393022
5,tubasfs,run1,0.822,0.817459245412
6,PITEOG,run1,0.76,0.756500933707
7,eire,run1,0.74,0.726847648332
8,Citius_Ixa_Imaxin,run1,0.686,0.698289431277
9,ResIdent,run2,0.698,0.694161841877
10,Uppsala,run2,0.672,0.674864743038
11,HDSL,run1,0.64,0.625673740207
12,SUKI,run1,0.642,0.622854211405
13,XAC,run2,0.576,0.552267751044
14,hltcoe,run2,0.554,0.513181709138
